,t,x,v_boat,alpha,omega,R,d,h,N_paddles,rho,C_paddle,C_front,m,A_front,v_water,dt,f_paddles,f_body_drag,a
4823,48.229999999998974,2.060776416681512,0.045165274940123123,48.229999999998974,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008472634336448074,-0.010385485775115834,-0.0009564257193338801
4824,48.23999999999897,2.061227973788341,0.045155710682929784,48.23999999999897,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008475821931539004,-0.010381087752958531,-0.0009526329107097638
4825,48.24999999999897,2.0616794356318793,0.045146184353822685,48.24999999999897,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00847894381036987,-0.01037670809752542,-0.0009488821435777754
4826,48.25999999999897,2.062130802587203,0.04513669553238691,48.25999999999897,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00848202311793542,-0.010372346604557927,-0.0009451617433112536
4827,48.269999999998966,2.0625820750263526,0.0451272439149538,48.269999999998966,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008485078452546872,-0.010368003123648257,-0.0009414623355506928
4828,48.279999999998964,2.0630332533192686,0.04511782929159829,48.279999999998964,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00848812390335832,-0.010363677547614303,-0.0009377768221279911
4829,48.28999999999896,2.0634843378345025,0.04510845152337701,48.28999999999896,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008491169081895233,-0.010359369801998974,-0.0009341003600518705
4830,48.29999999999896,2.0639353289397,0.04509911051977649,48.29999999999896,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008494219147709377,-0.01035507983467957,-0.0009304303434850966
4831,48.30999999999896,2.064386227001864,0.04508980621634164,48.30999999999896,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008497274828238812,-0.010350807605573078,-0.0009267663886671331
4832,48.319999999998956,2.064837032387388,0.045080538552454974,48.319999999998956,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008500332432906682,-0.010346553076423666,-0.0009231103217584918
4833,48.329999999998954,2.0652877454618803,0.04507130744923739,48.329999999998954,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008503383861448428,-0.010342316200658619,-0.0009194661696050955
4834,48.33999999999895,2.0657383665897555,0.04506211278754134,48.33999999999895,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008506416606413412,-0.010338096913299077,-0.0009158401534428325
4835,48.34999999999895,2.0661888961336157,0.04505295438600691,48.34999999999895,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00850941374974317,-0.01033389512091189,-0.00091224068558436
4836,48.35999999999895,2.066639334453407,0.04504383197915107,48.35999999999895,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008512353953284299,-0.010329710691588655,-0.000908678369152178
4837,48.369999999998946,2.0670896819053617,0.04503474519545955,48.369999999998946,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008515211443049089,-0.010325543444937805,-0.0009051660009443581
4838,48.379999999998944,2.0675399388407163,0.045025693535450106,48.379999999998944,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008517955986990601,-0.01032139314207524,-0.0009017185775423197
4839,48.38999999999894,2.067990105604213,0.045016676349674684,48.38999999999894,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008520552866010982,-0.010317259475598469,-0.0008983533047937434
4840,48.39999999999894,2.0684401825323793,0.04500769281662675,48.39999999999894,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008522962837871361,-0.010313142059528714,-0.0008950896108286767
4841,48.40999999999894,2.0688901699515845,0.04499874192051846,48.40999999999894,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008525142093618442,-0.010309040419204735,-0.0008919491627931465
4842,48.419999999998936,2.0693400681758733,0.04498982242889053,48.419999999998936,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008527042206085775,-0.0103049539811113,-0.0008889558875127624
4843,48.429999999998934,2.0697898775045735,0.04498093287001541,48.429999999998934,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008528610069966209,-0.01030088206262434,-0.0008861359963290658
4844,48.43999999999893,2.070239598219674,0.04497207151005212,48.43999999999893,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.008788738591310907,-0.010296823861653743,-0.000754042635171418
4845,48.44999999999893,2.070689243530511,0.04496453108370041,48.44999999999893,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.009133096543450176,-0.010293371232932865,-0.0005801373447413445
4846,48.45999999999893,2.0711388308276137,0.044958729710253,48.45999999999893,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.009454396597308706,-0.010290715280037381,-0.0004181593413643374
4847,48.469999999998926,2.071588376308782,0.044954548116839355,48.469999999998926,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00975400948160781,-0.010288801098460691,-0.0002673958084264405
4848,48.479999999998924,2.0720378950503697,0.04495187415875509,48.479999999998924,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010033184497620161,-0.010287577150904476,-0.00012719632664215733
4849,48.48999999999892,2.0724874010723244,0.044950602195488666,48.48999999999892,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.01029306123484694,-0.010286994962270606,3.033136288166892e-06
4850,48.49999999999892,2.072936907397593,0.044950632526851546,48.49999999999892,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010534679876662414,-0.010287008845007085,0.00012383551582766453
